name,iban,bic,amount,reference,address,favorite_store
Wagner KG,FR7630006000011234567890189,SOGEFRPPXXX,41695.82,Support 2025917,"Victoria Street 438, 15935 Paris",Migros
Antonio Koch,CH9300762011623852957,POFICHBEXXX,17260.53,Salary 2026874,"Kirchweg 939, 85626 Cologne",Migros
James Hernandez,NL91ABNA0417164300,RABONL2UXXX,13168.73,Invoice 2025821,"Schulstrasse 857, 98687 Antwerp",Penny
Mia Popescu,DE44500105175407324931,BYLADEM1XXX,41260.67,Payment 2024504,"Via Roma 22, 42818 Brussels",Esselunga
Alain Gonzalez,FR1420041010050500013M02606,SOGEFRPPXXX,4756.78,Credit Note 2024670,"Strada Principala 402, 52793 Geneva",Monoprix
Hernandez Group,FR7630006000011234567890189,CRLYFRPPXXX,19619.14,Order 2025818,"High Street 943, 48708 Lille",Mercadona
Francisco Becker,FR1420041010050500013M02606,CRLYFRPPXXX,48968.65,Support 2024382,"Gartenstrasse 719, 48708 Nice",Spar
Anna Brown,NL02ABNA0123456789,ABNANL2AXXX,48569.62,Bonus 2024065,"Strada Principala 797, 30392 Bologna",Real
Elena Schaefer,CH5604835012345678009,UBSWCHZHXXX,24274.83,Subscription 2026002,"Avenue des Champs 947, 36311 Antwerp",Esselunga
Miller Corporation,AT483200000012345864,BKAUATWWXXX,26717.93,Fee 2026386,"Park Road 724, 73301 Cologne",Plus
Koch Enterprises,FR7612548029989876543210843,AGRIFRPPXXX,24054.76,Advance 2026501,"Bahnhofstrasse 110, 52620 Berlin",Kaufland
Giuseppe Becker,AT611904300234573201,GIBAATWWXXX,12502.22,Refund 2025528,"Boulevard Victor Hugo 91, 96518 Munich",Coop Schweiz
John Gheorghiu,ES1000492352082414205416,BBVAESMM,45367.83,Salary 2026140,"Plaza de España 16, 86794 Bilbao",Jumbo
Miller Solutions,FR7630006000011234567890189,CEPAFRPP415,46443.26,Contract 2026345,"Manor Road 973, 62297 Marseille",Mercadona
Petit GmbH,FR7612548029989876543210843,SOGEFRPPXXX,48875.06,Commission 2025470,"Victoria Street 103, 37553 Utrecht",Rewe
Julia Richter,NL02ABNA0123456789,TRIONL2UXXX,14454.16,Invoice 2026973,"Avenue des Champs 242, 28236 Utrecht",Albert Heijn
Elias Smith,CH9300762011623852957,UBSWCHZHXXX,13385.46,Advance 2024396,"Manor Road 812, 28353 Madrid",Coop Schweiz
Richard Petit,BE68539007547034,KREDBEBB,25351.45,Order 2025642,"Bahnhofstrasse 583, 47446 Paris",Coop
Daniela Moldovan,AT483200000012345864,GIBAATWWXXX,29655.20,Contract 2024872,"Gartenstrasse 789, 60137 Rome",Migros
Meyer Enterprises,NL02ABNA0123456789,ABNANL2AXXX,18309.89,Fee 2024640,"Park Road 449, 38380 Dresden",Plus
Manuel Petit,CH9300762011623852957,UBSWCHZHXXX,4606.69,Subscription 2024113,"Manor Road 985, 84857 Florence",Dia
Ioana Ionescu,ES9121000418450200051332,CAIXESBBXXX,48249.91,Consulting 2026246,"Kirchweg 31, 27319 Toulouse",Coop Schweiz
Robert Smith,NL02ABNA0123456789,ABNANL2AXXX,37878.94,Commission 2026222,"Green Lane 252, 47607 Rotterdam",Monoprix
Jonas Thomas,BE68539007547034,GEBABEBB,34567.58,Support 2025290,"Station Road 91, 13485 Cologne",Kaufland
Mia Mueller,CH9300762011623852957,POFICHBEXXX,4625.32,Services 2026621,"Gartenstrasse 640, 50953 Toulouse",Carrefour Italia
Schmidt Group,IT28W8000000292100645211111,BLOPIT22XXX,11756.43,Fee 2024461,"Green Lane 75, 24157 Rome",El Corte Inglés
Romano Technologies,AT611904300234573201,GIBAATWWXXX,20258.08,Maintenance 2025930,"Calea Victoriei 477, 59328 Lille",Plus
Philippe Colombo,NL02ABNA0123456789,INGBNL2AXXX,25487.41,Salary 2026267,"Via Milano 971, 50655 Bologna",Spar
Philippe Colombo,IT40S0542811101000000123456,INTESA,42537.55,Bonus 2025727,"Avenida Principal 831, 78483 Dresden",Migros
Maria Bianchi,FR1420041010050500013M02606,SOGEFRPPXXX,21804.22,Contract 2025523,"Victoria Street 403, 63533 Marseille",Denner
Ioana Wagner,IT40S0542811101000000123456,BLOPIT22XXX,13156.92,Support 2026798,"Plaza de España 447, 21587 Vienna",Jumbo
Alina Rossi,ES1000492352082414205416,POPUESMM,9687.06,Bonus 2026753,"Rue du Commerce 384, 58707 Amsterdam",Coop Schweiz
John Smith,AT611904300234573201,GIBAATWWXXX,20490.45,License 2026964,"Plaza de España 826, 95803 Paris",Dia
Richter Group,BE68539007547034,KREDBEBB,45705.20,Maintenance 2025804,"Main Street 313, 16504 Munich",Dia
Anna Thomas,CH5604835012345678009,CRESCHZZXXX,28134.96,Subscription 2026554,"Gartenstrasse 351, 22694 Berlin",Edeka
Ion Constantinescu,DE27100777770209299700,DRESDEFF100,27517.06,Support 2025801,"Rue du Commerce 296, 80532 Lyon",Kaufland
Popescu Technologies,BE68539007547034,GKCCBEBB,47215.62,Advance 2026859,"Main Street 372, 12441 Bologna",Alcampo
Marco Moldovan,RO49AAAA1B31007593840000,BRDEROBUXXX,31586.52,Salary 2025315,"Gartenstrasse 493, 22104 Lille",Esselunga
Mihai Romano,BE68539007547034,GEBABEBB,15192.80,Consulting 2026947,"Calle Real 332, 87785 Stuttgart",Jumbo
Sophie Rodriguez,NL02ABNA0123456789,ABNANL2AXXX,46776.34,Subscription 2026613,"Piazza Garibaldi 381, 12049 Antwerp",Spar
Marian Smith,ES7921000813610123456789,POPUESMM,45976.78,Refund 2025876,"Avenida Principal 510, 45185 Valencia",Mercadona
Maximilian Schmidt,NL02ABNA0123456789,RABONL2UXXX,11716.82,Consulting 2026199,"Schulstrasse 807, 84215 Nice",Spar
Robert Schulz,NL91ABNA0417164300,TRIONL2UXXX,46110.48,Maintenance 2026161,"Corso Italia 744, 95256 Frankfurt",Monoprix
Miller Technologies,DE27100777770209299700,INGDDEFFXXX,25673.88,Retainer 2026004,"Gartenstrasse 268, 96970 Rotterdam",Coop Schweiz
Paul Popa,DE89370400440532013000,INGDDEFFXXX,16571.05,Refund 2024777,"Station Road 938, 83835 Lille",Leclerc
James Stan,ES9121000418450200051332,BSCHESMM,3006.86,Salary 2024659,"Schulstrasse 155, 58044 Geneva",Lidl
David Stan,RO66BRDE410SV38975310410,RNCBROBU,32998.81,Invoice 2025652,"Station Road 356, 53759 Seville",Jumbo
David Martin,FR7630006000011234567890189,CRLYFRPPXXX,3266.97,Fee 2026708,"Avenida Principal 597, 50134 Cologne",Lidl
Schulz Logistics,NL91ABNA0417164300,TRIONL2UXXX,1726.47,Contract 2025819,"Gartenstrasse 626, 91556 Cluj-Napoca",Monoprix
Richard Wagner,CH5604835012345678009,POFICHBEXXX,25819.87,Advance 2026745,"Avenue des Champs 448, 16842 Rome",Albert Heijn
Daniela Garcia,CH5604835012345678009,UBSWCHZHXXX,16726.03,Services 2026554,"Avenue des Champs 619, 79712 Bordeaux",Kaufland Romania
Rossi Services,RO09BCYP0000001234567890,BRDEROBUXXX,35079.26,Salary 2026540,"Boulevard Victor Hugo 14, 38197 Berlin",Monoprix
Hans Moldovan,DE27100777770209299700,DRESDEFF100,27726.87,Commission 2024821,"Via Nazionale 311, 30822 Naples",Penny
Schmidt Services,CH9300762011623852957,UBSWCHZHXXX,21735.32,Services 2024884,"Bulevardul Unirii 575, 88851 Bordeaux",Leclerc
Juan Robert,FR1420041010050500013M02606,CRLYFRPPXXX,41403.92,Consulting 2024459,"Avenue des Champs 72, 76253 Antwerp",Carrefour Romania
Maria Robert,FR7630006000011234567890189,CEPAFRPP415,11156.91,Payment 2024406,"Main Street 13, 65265 Vienna",Real
Robert Industries,BE71096123456769,GEBABEBB,30122.72,Consulting 2026301,"High Street 582, 31772 Rome",Dia
Esposito Holdings,AT483200000012345864,GIBAATWWXXX,23398.21,Support 2026183,"Avenue des Champs 853, 84375 Bilbao",Coop
David Mueller,BE68539007547034,AXABBE22XXX,18255.28,Subscription 2025643,"Green Lane 820, 52497 Antwerp",Denner
Pierre Brown,NL91ABNA0417164300,INGBNL2AXXX,14569.69,Subscription 2025093,"Via Milano 459, 82373 Stuttgart",Carrefour
Maria Gheorghiu,ES9121000418450200051332,CAIXESBBXXX,15699.55,Credit Note 2026475,"Schulstrasse 765, 70881 Vienna",Dia
Alessandro Popa,DE62370400440532013001,INGDDEFFXXX,27053.60,Refund 2025626,"Park Road 805, 31327 Utrecht",Spar
Carlos Robert,CH9300762011623852957,UBSWCHZHXXX,35572.51,Invoice 2024239,"Bahnhofstrasse 67, 80237 Turin",Spar
Leon Hernandez,RO09BCYP0000001234567890,INGBROBU,30209.57,Support 2026546,"High Street 251, 28083 Bilbao",Kaufland Romania
Schaefer International,AT483200000012345864,BKAUATWWXXX,32648.26,Order 2025487,"Bulevardul Unirii 453, 16080 Munich",Alcampo
Davis Group,CH5604835012345678009,UBSWCHZHXXX,42218.80,Bonus 2025369,"Boulevard Victor Hugo 682, 21566 Frankfurt",Auchan
Ana Popa,CH5604835012345678009,UBSWCHZHXXX,19449.46,License 2026204,"Schulstrasse 917, 18808 Bilbao",Edeka
Ioana Rodriguez,CH5604835012345678009,POFICHBEXXX,31171.83,Support 2025025,"Avenida Principal 629, 76242 Naples",Dia
Carlos Meyer,IT40S0542811101000000123456,BPPIITRRXXX,15911.85,Order 2025403,"Manor Road 967, 78951 Bordeaux",Jumbo
Alessandro Jones,BE71096123456769,GKCCBEBB,19267.08,License 2024272,"Via Roma 502, 93545 Hamburg",Albert Heijn
Alain Tudor,CH9300762011623852957,CRESCHZZXXX,45200.18,Bonus 2026878,"Gartenstrasse 331, 37636 Frankfurt",Auchan
Dubois Enterprises,RO66BRDE410SV38975310410,BCYPROBUXXX,2440.48,License 2024159,"High Street 453, 88961 Madrid",Carrefour
Tudor KG,IT28W8000000292100645211111,INTESA,18861.17,Commission 2024427,"Victoria Street 942, 40308 Cologne",Denner
Lena Hoffmann,NL91ABNA0417164300,TRIONL2UXXX,23031.45,Payment 2025137,"High Street 556, 12471 Cologne",Spar
Juan Robert,DE44500105175407324931,INGDDEFFXXX,38065.02,Refund 2025295,"Via Nazionale 750, 86569 Dresden",Edeka
Ioana Martinez,AT611904300234573201,GIBAATWWXXX,16766.45,Fee 2026031,"Rue du Commerce 493, 24792 Milan",Kaufland
Lopez Services,DE89370400440532013000,INGDDEFFXXX,23862.66,Support 2026059,"Via Nazionale 394, 69330 Bologna",Alcampo
Moldovan KG,RO76BTRL01304205R50067XX,RNCBROBU,16793.32,Fee 2024647,"Bulevardul Unirii 13, 61892 Florence",Kaufland
Ben Popa,CH9300762011623852957,POFICHBEXXX,10425.54,Retainer 2026249,"Boulevard Victor Hugo 417, 12184 Lyon",Coop Schweiz
Laura Dubois,IT60X0542811101000000123456,BLOPIT22XXX,49420.37,Advance 2024006,"Via Roma 605, 58443 Hamburg",El Corte Inglés
David Stoica,RO76BTRL01304205R50067XX,BRDEROBUXXX,11146.43,Subscription 2026313,"Bulevardul Unirii 407, 67176 Rome",Rewe
Tudor Group,NL91ABNA0417164300,ABNANL2AXXX,11619.59,Subscription 2026231,"Church Road 407, 92162 Milan",Mercadona
Tudor Consulting,NL91ABNA0417164300,ABNANL2AXXX,4985.78,License 2025008,"Via Roma 542, 38862 Brussels",Casino
Andrei Weber,AT611904300234573201,BKAUATWWXXX,12190.18,Services 2024895,"Boulevard Victor Hugo 734, 71521 Milan",Esselunga
Antonio Richter,CH9300762011623852957,UBSWCHZHXXX,35656.73,Contract 2025653,"Strada Principala 263, 71813 Barcelona",Alcampo
Gonzalez Partners,IT28W8000000292100645211111,BLOPIT22XXX,7816.89,Payment 2025800,"Boulevard Victor Hugo 596, 24029 Toulouse",Alcampo
Manuel Moldovan,RO09BCYP0000001234567890,BCYPROBUXXX,45239.51,Invoice 2026435,"Via Milano 317, 89874 Amsterdam",Carrefour
Rodriguez Services,RO76BTRL01304205R50067XX,BRDEROBUXXX,15266.41,Invoice 2025354,"Calle Mayor 985, 32681 Dresden",Monoprix
Jose Barbu,RO09BCYP0000001234567890,INGBROBU,22227.99,Commission 2026486,"Bahnhofstrasse 400, 49819 Rome",Real
Philippe Klein,CH9300762011623852957,CRESCHZZXXX,9756.46,Services 2025339,"Calle Mayor 215, 23526 Salzburg",Lidl
Bianchi Systems,RO66BRDE410SV38975310410,RNCBROBU,14831.82,Advance 2024104,"Gartenstrasse 983, 15499 Eindhoven",Spar
Lopez GmbH,NL91ABNA0417164300,ABNANL2AXXX,24463.70,Subscription 2024737,"Via Nazionale 553, 73156 Lille",Alcampo
Constantinescu Enterprises,AT611904300234573201,RLNWATWWXXX,47305.64,License 2025037,"Church Road 888, 55682 Amsterdam",Penny
Mihai Colombo,FR7612548029989876543210843,SOGEFRPPXXX,18112.49,Order 2026911,"Via Nazionale 179, 48984 Eindhoven",Conad
Martin Technologies,ES7921000813610123456789,BBVAESMM,23090.45,Salary 2025638,"Hauptstrasse 381, 59619 Zurich",Lidl
Koch Technologies,AT611904300234573201,GIBAATWWXXX,856.30,Subscription 2024073,"Bahnhofstrasse 984, 65003 Bologna",Plus
Michel Garcia,NL91ABNA0417164300,TRIONL2UXXX,14943.17,Payment 2025576,"Corso Italia 146, 13714 Brussels",Denner
James Constantinescu,AT611904300234573201,GIBAATWWXXX,5259.14,License 2024495,"Church Road 80, 91582 Bologna",Auchan
Tudor Corporation,CH5604835012345678009,CRESCHZZXXX,21053.32,License 2026493,"Rue du Commerce 246, 87052 Geneva",Leclerc
Lisa Schulz,BE71096123456769,AXABBE22XXX,41063.87,Services 2026706,"Calle Mayor 658, 33553 Bologna",Carrefour
Marco Ferrari,AT483200000012345864,RLNWATWWXXX,34115.89,Bonus 2024246,"Calle Real 878, 87938 Geneva",Auchan
Schneider Solutions,RO09BCYP0000001234567890,RNCBROBU,45029.40,Services 2025613,"Via Milano 890, 47703 Cluj-Napoca",Carrefour
Sarah Schaefer,AT483200000012345864,BKAUATWWXXX,15233.21,Support 2025183,"Victoria Street 498, 72324 Madrid",Penny
David Dumitrescu,IT28W8000000292100645211111,INTESA,49113.29,License 2026476,"Rue de la Paix 525, 32747 Vienna",Conad
Sophie Garcia,IT60X0542811101000000123456,INTESA,45317.90,License 2024262,"Park Road 212, 93013 Turin",Jumbo
Ana Stoica,FR1420041010050500013M02606,SOGEFRPPXXX,14195.38,Support 2024889,"Calle Mayor 559, 60275 Valencia",Carrefour Italia
Felix Martinez,NL02ABNA0123456789,RABONL2UXXX,29970.31,Maintenance 2025971,"Calle Real 416, 36237 Stuttgart",Carrefour Romania
Jean Bernard,FR7630006000011234567890189,CEPAFRPP415,23506.13,Retainer 2026500,"Main Street 563, 65546 Venice",Plus
Marin Holdings,RO76BTRL01304205R50067XX,BRDEROBUXXX,5863.05,License 2025992,"Kirchweg 995, 44940 Antwerp",El Corte Inglés
Maximilian Jones,AT483200000012345864,GIBAATWWXXX,23659.39,Payment 2026947,"Calea Victoriei 67, 25946 Vienna",Conad
John Brown,FR7630006000011234567890189,BNPAFRPPXXX,36698.64,Advance 2025625,"Rue du Commerce 605, 39156 Antwerp",Penny
Bianchi AG,FR7630006000011234567890189,CRLYFRPPXXX,31301.48,Retainer 2025581,"Kirchweg 111, 79391 Valencia",Penny
Russo Corporation,ES9121000418450200051332,POPUESMM,17642.78,License 2024259,"Kirchweg 96, 53641 Lille",Casino
Robert Fischer,CH5604835012345678009,POFICHBEXXX,17906.31,Maintenance 2024699,"Victoria Street 471, 17859 Florence",Rewe
Juan Tudor,CH5604835012345678009,UBSWCHZHXXX,49602.44,Refund 2026012,"Calle Mayor 691, 14430 Bucharest",Kaufland
Laura Russo,FR7612548029989876543210843,SOGEFRPPXXX,45070.24,Retainer 2026506,"Corso Italia 810, 82831 Munich",Carrefour
Cristian Hoffmann,ES7921000813610123456789,SABSESMMXXX,44793.63,Bonus 2025742,"Gartenstrasse 990, 54051 Vienna",Leclerc
Juan Russo,FR7612548029989876543210843,CEPAFRPP415,30277.91,Contract 2026873,"Kirchweg 850, 19278 Cologne",Jumbo
Clara Constantinescu,FR1420041010050500013M02606,BNPAFRPPXXX,19112.20,Retainer 2026789,"High Street 396, 62821 Dresden",Rewe
Hans Schaefer,DE91100000000123456789,DRESDEFF100,40164.56,Retainer 2025739,"Via Milano 256, 69763 Cluj-Napoca",Jumbo
Mia Schneider,AT483200000012345864,BKAUATWWXXX,42846.43,Contract 2025115,"Hauptstrasse 576, 34723 Bilbao",Edeka
Richard Dumitrescu,BE68539007547034,GKCCBEBB,28689.85,Refund 2026761,"Schulstrasse 145, 62213 Paris",Conad
Francesco Gonzalez,CH5604835012345678009,UBSWCHZHXXX,20919.92,Support 2024015,"Via Milano 334, 28661 Milan",Conad
Weber International,CH9300762011623852957,POFICHBEXXX,48608.75,Payment 2025645,"Bahnhofstrasse 660, 74249 Bucharest",Mercadona
John Gheorghiu,AT611904300234573201,GIBAATWWXXX,6812.28,Credit Note 2025112,"Strada Principala 939, 76936 Munich",Casino
Barbu Holdings,IT60X0542811101000000123456,INTESA,6154.94,License 2024908,"Green Lane 988, 27571 Salzburg",Penny
Ionescu Group,BE68539007547034,KREDBEBB,47433.80,Bonus 2024569,"Main Street 351, 38147 Florence",Kaufland Romania
Manuel Moldovan,IT28W8000000292100645211111,BPPIITRRXXX,17445.76,Consulting 2026635,"High Street 548, 36566 Milan",Migros
Ioana Wagner,ES7921000813610123456789,SABSESMMXXX,6219.30,Subscription 2025637,"Bahnhofstrasse 397, 71923 Dresden",Migros
Petit KG,RO76BTRL01304205R50067XX,RNCBROBU,32965.45,Bonus 2025765,"Victoria Street 190, 30570 Barcelona",Rewe
Ioana Bianchi,FR7630006000011234567890189,SOGEFRPPXXX,11141.39,Support 2024946,"Calle Real 654, 35427 Marseille",Carrefour
Cristian Rossi,RO09BCYP0000001234567890,BRDEROBUXXX,30478.17,Bonus 2025085,"Manor Road 819, 55019 Geneva",Real
James Schneider,DE44500105175407324931,DRESDEFF100,144.95,Fee 2024311,"Calle Real 967, 51862 Zurich",Lidl
Richard Hernandez,DE91100000000123456789,DEUTDEFFXXX,27038.75,Credit Note 2024299,"Hauptstrasse 275, 73596 Seville",Monoprix
Elias Stoica,BE68539007547034,KREDBEBB,3245.08,Contract 2024086,"Manor Road 493, 38212 Eindhoven",Real
Adrian Wagner,AT611904300234573201,GIBAATWWXXX,11382.46,Payment 2024083,"Schulstrasse 221, 42356 Lille",Dia
Julia Garcia,NL91ABNA0417164300,TRIONL2UXXX,36633.89,Payment 2024805,"Church Road 572, 25767 Milan",Rewe
Ion Dubois,CH9300762011623852957,CRESCHZZXXX,36229.46,Subscription 2026100,"Avenue des Champs 42, 17278 Zurich",Rewe
Stoica KG,ES1000492352082414205416,SABSESMMXXX,1259.28,Maintenance 2024503,"Rue de la Paix 344, 92504 Bordeaux",Penny
Sarah Russo,AT611904300234573201,RLNWATWWXXX,3797.57,Fee 2024673,"High Street 372, 34742 Malaga",Rewe
Laura Thomas,IT28W8000000292100645211111,BLOPIT22XXX,13255.03,Maintenance 2024550,"Kirchweg 816, 84895 Stuttgart",Edeka
Barbu Holdings,ES9121000418450200051332,BSCHESMM,11644.93,Invoice 2026607,"Hauptstrasse 762, 55737 Bucharest",Carrefour Italia
Brown Industries,NL91ABNA0417164300,RABONL2UXXX,23931.83,Salary 2025263,"Schulstrasse 135, 69835 Bilbao",Spar
Hans Smith,NL02ABNA0123456789,RABONL2UXXX,38433.45,Consulting 2024295,"Park Road 65, 90397 Valencia",Alcampo
Dumitrescu KG,CH9300762011623852957,POFICHBEXXX,33556.02,Refund 2025998,"Gartenstrasse 117, 88115 Madrid",Plus
Mia Bianchi,AT611904300234573201,BKAUATWWXXX,20377.69,Bonus 2024276,"Piazza Garibaldi 84, 77740 Milan",Albert Heijn
Garcia Solutions,IT60X0542811101000000123456,BCITITMM,34625.01,Commission 2024881,"Calea Victoriei 483, 41680 Geneva",Casino
Rossi Corporation,CH5604835012345678009,CRESCHZZXXX,28999.28,Order 2025928,"Green Lane 153, 58162 Bologna",Mercadona
Emma Martin,FR1420041010050500013M02606,BNPAFRPPXXX,17563.16,Fee 2026242,"Avenida Principal 789, 88303 Zurich",Kaufland Romania
Lisa Gonzalez,RO76BTRL01304205R50067XX,BCYPROBUXXX,44140.50,Retainer 2025428,"Calle Real 168, 77722 Hamburg",Monoprix
Martinez Solutions,FR7612548029989876543210843,SOGEFRPPXXX,40208.07,License 2026095,"Gartenstrasse 764, 90363 Rotterdam",Auchan
Giuseppe Stoica,NL02ABNA0123456789,ABNANL2AXXX,9120.33,Payment 2025491,"Station Road 623, 18436 Paris",Coop Schweiz
Thomas AG,CH5604835012345678009,UBSWCHZHXXX,7879.73,Services 2024274,"Plaza de España 926, 45103 Stuttgart",Esselunga
Marian Hoffmann,IT40S0542811101000000123456,BLOPIT22XXX,7845.86,Credit Note 2025009,"Via Roma 605, 75313 Antwerp",Kaufland Romania
Alexander Klein,BE68539007547034,GKCCBEBB,35577.34,Contract 2026095,"Bahnhofstrasse 103, 79833 Madrid",Rewe
Ana Schneider,RO76BTRL01304205R50067XX,BCYPROBUXXX,42015.95,Bonus 2025331,"Plaza de España 886, 65418 Florence",Spar
Jean Petit,CH5604835012345678009,POFICHBEXXX,18488.57,Salary 2024571,"Hauptstrasse 710, 95443 Utrecht",Carrefour Italia
Maximilian Becker,AT611904300234573201,GIBAATWWXXX,49563.00,Retainer 2025183,"Schulstrasse 704, 64342 Cluj-Napoca",Penny
Schulz Holdings,RO09BCYP0000001234567890,BTRLRO22XXX,16076.49,Bonus 2025720,"Green Lane 25, 18606 Dresden",Coop
Jones International,DE62370400440532013001,BYLADEM1XXX,33575.65,Fee 2024600,"Calle Mayor 695, 34103 Brussels",Lidl
Philippe Robert,AT611904300234573201,RLNWATWWXXX,35603.87,Payment 2026614,"Hauptstrasse 318, 51429 Florence",Alcampo
Johnson Systems,BE71096123456769,GKCCBEBB,23757.25,Bonus 2024680,"Park Road 474, 75258 Antwerp",Coop
Ana Richter,BE68539007547034,AXABBE22XXX,7909.82,Order 2026234,"Church Road 186, 59970 Munich",Carrefour Italia
Richter International,BE71096123456769,AXABBE22XXX,46107.00,Subscription 2024338,"Station Road 389, 75968 Rome",Denner
Julia Fischer,ES1000492352082414205416,SABSESMMXXX,49005.89,Support 2025118,"Piazza Garibaldi 993, 39295 Hamburg",Kaufland
Ioana Popa,BE68539007547034,GEBABEBB,24818.04,License 2026669,"Rue de la Paix 34, 84407 Rotterdam",Casino
Robert Johnson,DE27100777770209299700,DEUTDEFFXXX,17162.84,Support 2025893,"Gartenstrasse 471, 64423 Bucharest",Lidl
Antonio Martinez,RO76BTRL01304205R50067XX,RNCBROBU,14245.31,Salary 2024311,"Via Roma 954, 88803 Toulouse",Auchan
William Martin,AT483200000012345864,GIBAATWWXXX,35476.25,License 2024530,"Bulevardul Unirii 634, 18392 Stuttgart",Monoprix
Bianchi Holdings,IT28W8000000292100645211111,BLOPIT22XXX,41654.20,Commission 2024858,"Victoria Street 72, 91707 Barcelona",Carrefour Romania
Maximilian Bernard,CH5604835012345678009,POFICHBEXXX,9835.17,Order 2024839,"High Street 164, 58398 Madrid",Edeka
Mia Robert,BE68539007547034,GKCCBEBB,37206.52,Credit Note 2024209,"Park Road 970, 52009 Venice",Casino
Anna Fischer,CH9300762011623852957,POFICHBEXXX,2308.63,Salary 2026532,"Station Road 377, 11057 Utrecht",Albert Heijn
Meyer Services,FR7630006000011234567890189,CEPAFRPP415,2431.14,Maintenance 2025672,"High Street 627, 89229 Seville",Mercadona
Thomas Holdings,NL91ABNA0417164300,ABNANL2AXXX,41885.31,Consulting 2026741,"Station Road 388, 25229 Barcelona",Migros
Francesco Martin,NL02ABNA0123456789,ABNANL2AXXX,10519.86,Services 2024143,"Corso Italia 863, 25163 Naples",Jumbo
Antonio Hoffmann,FR7630006000011234567890189,BNPAFRPPXXX,20758.59,Refund 2026843,"Rue du Commerce 921, 64742 Stuttgart",Esselunga
Michel Popa,NL02ABNA0123456789,INGBNL2AXXX,42605.45,Services 2025007,"Rue du Commerce 219, 96843 Lille",Carrefour
Weber Trading,AT483200000012345864,RLNWATWWXXX,2844.33,Salary 2026045,"Avenue des Champs 649, 67017 Venice",Albert Heijn
Ben Hoffmann,AT611904300234573201,RLNWATWWXXX,48894.20,Commission 2026303,"Schulstrasse 248, 52778 Vienna",Auchan
Alexandru Esposito,CH9300762011623852957,UBSWCHZHXXX,32674.51,Contract 2024290,"Gartenstrasse 451, 54071 Bucharest",Coop
Gonzalez Services,AT483200000012345864,GIBAATWWXXX,1387.77,Maintenance 2026651,"Hauptstrasse 600, 17600 Venice",Penny
Robert Meyer,RO76BTRL01304205R50067XX,RNCBROBU,11614.17,Fee 2024710,"Piazza Garibaldi 269, 50213 Amsterdam",Monoprix
Maria Davis,ES1000492352082414205416,BSCHESMM,29321.96,Advance 2025984,"Gartenstrasse 500, 28645 Milan",Kaufland Romania
Marco Garcia,IT28W8000000292100645211111,BPPIITRRXXX,16835.69,Credit Note 2025046,"Calea Victoriei 242, 45968 Eindhoven",Penny
Michel Mueller,FR7612548029989876543210843,BNPAFRPPXXX,46766.47,Services 2026671,"Via Roma 550, 58994 Lille",Esselunga
Carlos Schaefer,DE44500105175407324931,INGDDEFFXXX,33035.34,Contract 2025305,"Kirchweg 937, 56384 Rome",Carrefour
Mihai Williams,ES7921000813610123456789,BSCHESMM,13389.98,Refund 2024483,"Hauptstrasse 188, 96041 Seville",Mega Image
Philippe Klein,RO49AAAA1B31007593840000,BTRLRO22XXX,45785.45,Order 2026319,"Calea Victoriei 963, 30798 Bologna",Carrefour
Jacques Russo,IT60X0542811101000000123456,BLOPIT22XXX,49974.44,Invoice 2026164,"Corso Italia 571, 75165 Salzburg",Dia
Lena Romano,RO09BCYP0000001234567890,BRDEROBUXXX,32564.65,Payment 2024242,"Park Road 599, 14718 Florence",Dia
Mihai Esposito,BE71096123456769,GEBABEBB,3643.59,Salary 2026974,"Via Milano 664, 35392 Utrecht",Mercadona
Schneider Consulting,RO49AAAA1B31007593840000,RNCBROBU,49816.11,Advance 2025481,"Piazza Garibaldi 467, 52425 Bilbao",Penny
Ana Becker,RO66BRDE410SV38975310410,BTRLRO22XXX,27218.20,Order 2024451,"Rue du Commerce 394, 83283 Malaga",Mercadona
Fischer Systems,NL91ABNA0417164300,INGBNL2AXXX,5710.59,License 2026619,"Via Nazionale 258, 14165 Utrecht",Alcampo
Alexander Constantinescu,RO09BCYP0000001234567890,BTRLRO22XXX,37835.77,Refund 2026205,"Park Avenue 562, 76746 Milan",Edeka
Francisco Meyer,IT28W8000000292100645211111,BLOPIT22XXX,33131.28,Refund 2026867,"Boulevard Victor Hugo 991, 17952 Frankfurt",Alcampo
Stan Holdings,FR7630006000011234567890189,AGRIFRPPXXX,1909.08,Advance 2024015,"Calea Victoriei 897, 12403 Barcelona",Penny
Elias Popescu,NL91ABNA0417164300,RABONL2UXXX,47949.89,Credit Note 2025521,"Church Street 845, 81686 Rome",Plus
Tudor KG,AT483200000012345864,GIBAATWWXXX,46297.83,Fee 2024978,"Hauptstrasse 587, 37686 Seville",Albert Heijn
Francesco Smith,CH9300762011623852957,POFICHBEXXX,6478.21,Advance 2025003,"Piazza Garibaldi 372, 25518 Marseille",El Corte Inglés
Michael Schneider,ES1000492352082414205416,BSCHESMM,40995.13,Credit Note 2026398,"Calle Mayor 289, 99045 Dresden",Auchan
Ben Bianchi,AT483200000012345864,GIBAATWWXXX,47504.79,Retainer 2025671,"Piazza Garibaldi 20, 72230 Dresden",Edeka
Smith Services,BE71096123456769,GKCCBEBB,1519.09,Fee 2025386,"Calle Mayor 348, 39406 Dresden",Carrefour
